,ResponseId,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
0,R_6hazd14Iv0vRJV7,22.0,,22.0,15,0,15,1.4666666666666666
1,R_5vQ6Xf1WugueDND,31.0,29.261904761904763,31.0,14,1,15,2.066666666666667
2,R_5KpdGyLKCFDJS5r,32.0,28.47619047619047,32.0,15,0,15,2.1333333333333333
3,R_5hfsgpVmDBRxfr5,49.0,41.00000000000001,49.0,15,0,15,3.2666666666666666
4,R_6Eu2oR7CwVBRwyp,40.0,37.03333333333333,40.0,11,4,15,2.6666666666666665
5,R_6D6PBkrChss508l,30.0,,30.0,13,2,15,2.0
6,R_7LLF8qLJV3UgQE1,48.0,40.86666666666667,48.0,15,0,15,3.2
7,R_78Z3gy1mcpQ6lpQ,60.0,50.82380952380953,60.0,12,3,15,4.0
8,R_5WU8WIr7pguhYVA,48.0,,48.0,15,0,15,3.2
9,R_59txcXaWbmO04SW,32.0,,32.0,8,7,15,2.1333333333333333
10,R_7iswQke6K35dZLP,51.0,38.457142857142856,51.0,14,1,15,3.4
11,R_6g0EFev6t4FKlcE,38.0,29.30952380952381,38.0,15,0,15,2.533333333333333
12,R_5mBwuHcjIHstC01,42.0,36.88095238095238,42.0,15,0,15,2.8
13,R_7sEXibfidLgmOWd,49.0,44.419047619047625,49.0,10,5,15,3.2666666666666666
14,R_7Y5oIYgYMSPPwIa,43.0,34.85714285714286,43.0,14,1,15,2.8666666666666667
15,R_3Jd1uTp9gkuwtOx,32.0,29.333333333333336,32.0,14,1,15,2.1333333333333333
16,R_1NOosR37pJud2UA,45.0,41.46666666666667,45.0,13,2,15,3.0
17,R_16SaFYG3hG62QF3,37.0,32.952380952380956,37.0,15,0,15,2.466666666666667
18,R_5Phftz7eKxQRBg1,43.0,,43.0,15,0,15,2.8666666666666667
19,R_53qZezuj1Aowmel,31.0,25.142857142857142,31.0,15,0,15,2.066666666666667
20,R_5hxwR1AIkCiK5YQ,30.0,,30.0,14,1,15,2.0
21,R_7jrDLd1FIMqRkxj,45.0,,45.0,15,0,15,3.0
22,R_5fIoIo9ELuQ1U1M,41.0,34.6,41.0,15,0,15,2.7333333333333334
23,R_35MZhXTsEy0Q8Ct,50.0,,50.0,15,0,15,3.3333333333333335
24,R_6P7TbV4CF3UQq2I,24.0,25.666666666666664,24.0,14,1,15,1.6
25,R_5IME3bnJF5C8vPK,37.0,38.6,37.0,15,0,15,2.466666666666667
26,R_7D6TWTVSx8Nbnl3,57.0,42.7952380952381,57.0,14,1,15,3.8
27,R_3zpB5H3IbG7VP2T,34.0,,34.0,14,1,15,2.2666666666666666
28,R_7urH6KcIAcTkWCB,54.0,,54.0,15,0,15,3.6
29,R_1mczKBtg2GsAMRr,54.0,42.714285714285715,54.0,14,1,15,3.6
30,R_3VJvcRXM4mhNG0x,68.0,,68.0,15,0,15,4.533333333333333
31,R_5iOMXXK1u9zcmXQ,57.0,,57.0,14,1,15,3.8
32,R_67re1CUSK65lHix,32.0,28.66666666666666,32.0,15,0,15,2.1333333333333333
33,R_1PR4qXLMAceGiOt,22.0,26.666666666666668,22.0,15,0,15,1.4666666666666666
34,R_7ikqRNbiqOG98sh,30.0,,30.0,10,5,15,2.0
35,R_3zjUkGkE3FsX1RL,39.0,35.30952380952381,39.0,15,0,15,2.6
36,R_5dnySa1ce8EsOdt,45.0,,45.0,15,0,15,3.0
37,R_6VQHLZ7aMXrAeuc,39.0,30.366666666666664,39.0,15,0,15,2.6
38,R_7AWa8yqYLHwffXz,27.0,27.67619047619047,27.0,15,0,15,1.8
39,R_3fZQKPrA5XxeCM0,41.0,,41.0,15,0,15,2.7333333333333334
40,R_6G88HMPnMd2CyLe,54.0,,54.0,14,1,15,3.6
