,ResponseId,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
0,R_5vQ6Xf1WugueDND,19.547619047619047,19.0952380952381,20.0,11,0,11,1.777056277056277
1,R_6D6PBkrChss508l,21.333333333333336,20.666666666666668,22.0,10,2,12,1.777777777777778
2,R_53qZezuj1Aowmel,25.90476190476191,22.80952380952381,29.0,13,0,13,1.992673992673993
3,R_6hazd14Iv0vRJV7,20.94047619047619,23.880952380952383,18.0,12,0,12,1.7450396825396826
4,R_5KpdGyLKCFDJS5r,23.321428571428573,21.64285714285714,25.0,12,0,12,1.9434523809523812
5,R_59txcXaWbmO04SW,27.814285714285717,25.62857142857143,30.0,7,6,13,2.13956043956044
6,R_6Eu2oR7CwVBRwyp,26.76666666666667,25.53333333333333,28.0,8,3,11,2.4333333333333336
7,R_5hfsgpVmDBRxfr5,28.083333333333336,26.166666666666668,30.0,10,0,10,2.8083333333333336
8,R_7LLF8qLJV3UgQE1,33.849999999999994,30.700000000000003,37.0,12,0,12,2.820833333333333
9,R_78Z3gy1mcpQ6lpQ,43.07857142857143,39.15714285714286,47.0,9,3,12,3.5898809523809523
10,R_5WU8WIr7pguhYVA,37.36904761904762,35.73809523809524,39.0,13,0,13,2.8745421245421245
11,R_7iswQke6K35dZLP,40.12857142857143,34.25714285714285,46.0,13,1,14,2.866326530612245
12,R_6g0EFev6t4FKlcE,23.071428571428573,20.142857142857142,26.0,10,0,10,2.3071428571428574
13,R_5mBwuHcjIHstC01,27.083333333333336,25.166666666666668,29.0,10,0,10,2.7083333333333335
14,R_7sEXibfidLgmOWd,31.876190476190477,29.752380952380953,34.0,7,5,12,2.6563492063492062
15,R_7Y5oIYgYMSPPwIa,30.095238095238095,26.190476190476193,34.0,11,1,12,2.507936507936508
16,R_3Jd1uTp9gkuwtOx,16.916666666666668,15.833333333333334,18.0,8,1,9,1.8796296296296298
17,R_1NOosR37pJud2UA,37.06666666666666,36.13333333333333,38.0,11,2,13,2.851282051282051
