,Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
0,Gemini 2.5 Pro Multiple Context (2025-07-21),135.10952380952378,126.21904761904763,144.0,55,5,60,2.2518253968253963
1,OpenAI o3 Multiple Context (2025-07-21),173.67619047619044,163.35238095238094,184.0,57,3,60,2.894603174603174
2,OpenAI ChatGPT-4o Single Context (2025-07-25),118.61666666666665,109.23333333333335,128.0,53,7,60,1.9769444444444442
3,GPT 4.1 Single Context (2025-07-21),131.06428571428572,121.1285714285714,141.0,56,4,60,2.1844047619047617
4,Gemini 2.0 Flash Multiple Context (2025-07-21),113.85952380952382,107.71904761904761,120.0,58,2,60,1.8976587301587304
5,OpenAI o4-mini Single Context (2025-07-21),139.97142857142856,135.94285714285718,144.0,55,5,60,2.3328571428571427
6,GPT 4.1 Single Context w/ Images (2025-07-21),115.6047619047619,108.2095238095238,123.0,56,4,60,1.9267460317460317
7,OpenAI ChatGPT-4o Multiple Context (2025-07-25),130.30238095238096,118.60476190476189,142.0,58,2,60,2.171706349206349
8,OpenAI o3 Pro Multiple Context (2025-07-21),188.92380952380952,173.84761904761905,204.0,50,10,60,3.148730158730159
9,GPT 4.1 Multiple Context (2025-07-21),121.11904761904762,108.23809523809524,134.0,59,1,60,2.0186507936507936
10,GPT 4.1 Multiple Context w/ Images (2025-07-21),116.68333333333332,111.36666666666667,122.0,57,3,60,1.944722222222222
11,OpenAI o3 Multiple Context w/ Images (2025-07-14),162.24285714285716,145.48571428571427,179.0,53,7,60,2.7040476190476195
12,Gemini 2.0 Flash Single Context (2025-07-21),118.8452380952381,109.69047619047618,128.0,58,2,60,1.9807539682539683
13,OpenAI o4-mini Multiple Context (2025-07-21),164.72619047619048,155.45238095238093,174.0,56,4,60,2.745436507936508
14,OpenAI o3 Pro Single Context (2025-07-21),193.01428571428573,177.0285714285714,209.0,57,3,60,3.2169047619047624
15,OpenAI o4-mini Multiple Context (2025-07-14),154.7214285714286,144.44285714285712,165.0,56,4,60,2.5786904761904763
16,OpenAI o4-mini Single Context (2025-07-14),135.44285714285715,128.8857142857143,142.0,56,4,60,2.2573809523809527
17,Gemini 2.0 Flash Image Generation Multiple Context (2025-07-25),93.34523809523809,92.6904761904762,94.0,36,24,60,1.555753968253968
18,OpenAI o3 Single Context (2025-07-21),187.3166666666667,170.6333333333333,204.0,57,3,60,3.121944444444445
19,Gemini 2.5 Pro Single Context (2025-07-21),142.61190476190478,130.2238095238095,155.0,59,1,60,2.37686507936508
20,Claude Sonnet 4 Single Context (2025-09-11),111.74285714285715,108.48571428571428,115.0,29,31,60,1.8623809523809525
21,Claude Sonnet 4 Multiple Context (2025-09-11),101.29761904761905,98.5952380952381,104.0,31,29,60,1.6882936507936508
22,Claude Opus 4.1 Multiple Context (2025-09-11),137.46904761904761,126.93809523809522,148.0,35,25,60,2.2911507936507935
