,Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
0,Gemini 2.5 Pro Multiple Context (2025-07-21),29.83333333333333,27.666666666666664,32.0,8,4,12,2.4861111111111107
1,OpenAI o3 Multiple Context (2025-07-21),41.68333333333333,39.36666666666667,44.0,12,0,12,3.473611111111111
2,OpenAI ChatGPT-4o Single Context (2025-07-25),25.630952380952383,24.26190476190476,27.0,11,1,12,2.1359126984126986
3,GPT 4.1 Single Context (2025-07-21),35.23095238095238,34.461904761904755,36.0,11,1,12,2.9359126984126984
4,Gemini 2.0 Flash Multiple Context (2025-07-21),19.083333333333332,19.166666666666668,19.0,11,1,12,1.5902777777777777
5,OpenAI o4-mini Single Context (2025-07-21),22.749999999999996,23.5,22.0,11,1,12,1.895833333333333
6,GPT 4.1 Single Context w/ Images (2025-07-21),22.25,22.5,22.0,11,1,12,1.8541666666666667
7,OpenAI ChatGPT-4o Multiple Context (2025-07-25),23.738095238095237,22.476190476190474,25.0,12,0,12,1.978174603174603
8,OpenAI o3 Pro Multiple Context (2025-07-21),43.849999999999994,42.7,45.0,10,2,12,3.6541666666666663
9,GPT 4.1 Multiple Context (2025-07-21),21.023809523809526,19.047619047619047,23.0,12,0,12,1.7519841269841272
10,GPT 4.1 Multiple Context w/ Images (2025-07-21),18.0,19.0,17.0,11,1,12,1.5
11,OpenAI o3 Multiple Context w/ Images (2025-07-14),31.32142857142857,31.64285714285714,31.0,10,2,12,2.6101190476190474
12,Gemini 2.0 Flash Single Context (2025-07-21),23.976190476190478,22.95238095238095,25.0,12,0,12,1.9980158730158732
13,OpenAI o4-mini Multiple Context (2025-07-21),38.48333333333333,35.96666666666667,41.0,11,1,12,3.206944444444444
14,OpenAI o3 Pro Single Context (2025-07-21),36.85,34.7,39.0,11,1,12,3.0708333333333333
15,OpenAI o4-mini Multiple Context (2025-07-14),26.400000000000002,25.799999999999997,27.0,10,2,12,2.2
16,OpenAI o4-mini Single Context (2025-07-14),26.0,24.0,28.0,11,1,12,2.1666666666666665
17,Gemini 2.0 Flash Image Generation Multiple Context (2025-07-25),20.904761904761905,21.809523809523807,20.0,7,5,12,1.742063492063492
18,OpenAI o3 Single Context (2025-07-21),35.866666666666674,36.73333333333333,35.0,12,0,12,2.9888888888888894
19,Gemini 2.5 Pro Single Context (2025-07-21),29.666666666666668,26.333333333333332,33.0,12,0,12,2.4722222222222223
