,Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
0,Gemini 2.5 Pro Multiple Context (2025-07-21),103.94285714285711,97.8857142857143,110.0,46,2,48,2.16547619047619
1,OpenAI o3 Multiple Context (2025-07-21),131.99285714285713,123.98571428571428,140.0,45,3,48,2.7498511904761904
2,OpenAI ChatGPT-4o Single Context (2025-07-25),92.98571428571428,84.97142857142858,101.0,42,6,48,1.9372023809523808
3,GPT 4.1 Single Context (2025-07-21),95.83333333333333,86.66666666666666,105.0,45,3,48,1.9965277777777777
4,Gemini 2.0 Flash Multiple Context (2025-07-21),94.77619047619051,88.55238095238093,101.0,47,1,48,1.974503968253969
5,OpenAI o4-mini Single Context (2025-07-21),117.22142857142856,112.44285714285715,122.0,44,4,48,2.442113095238095
6,GPT 4.1 Single Context w/ Images (2025-07-21),93.3547619047619,85.7095238095238,101.0,45,3,48,1.944890873015873
7,OpenAI ChatGPT-4o Multiple Context (2025-07-25),106.56428571428573,96.1285714285714,117.0,46,2,48,2.220089285714286
8,OpenAI o3 Pro Multiple Context (2025-07-21),145.07380952380956,131.14761904761903,159.0,40,8,48,3.0223710317460326
9,GPT 4.1 Multiple Context (2025-07-21),100.0952380952381,89.19047619047619,111.0,47,1,48,2.0853174603174605
10,GPT 4.1 Multiple Context w/ Images (2025-07-21),98.68333333333334,92.36666666666666,105.0,46,2,48,2.055902777777778
11,OpenAI o3 Multiple Context w/ Images (2025-07-14),130.9214285714286,113.84285714285713,148.0,43,5,48,2.7275297619047625
12,Gemini 2.0 Flash Single Context (2025-07-21),94.8690476190476,86.73809523809524,103.0,46,2,48,1.9764384920634919
13,OpenAI o4-mini Multiple Context (2025-07-21),126.24285714285715,119.48571428571428,133.0,45,3,48,2.630059523809524
14,OpenAI o3 Pro Single Context (2025-07-21),156.16428571428574,142.32857142857142,170.0,46,2,48,3.2534226190476194
15,OpenAI o4-mini Multiple Context (2025-07-14),128.32142857142858,118.64285714285714,138.0,46,2,48,2.6733630952380953
16,OpenAI o4-mini Single Context (2025-07-14),109.44285714285715,104.88571428571429,114.0,45,3,48,2.280059523809524
17,Gemini 2.0 Flash Image Generation Multiple Context (2025-07-25),72.44047619047619,70.8809523809524,74.0,29,19,48,1.5091765873015872
18,OpenAI o3 Single Context (2025-07-21),151.45000000000002,133.9,169.0,45,3,48,3.155208333333334
19,Gemini 2.5 Pro Single Context (2025-07-21),112.94523809523811,103.89047619047616,122.0,47,1,48,2.353025793650794
20,Claude Sonnet 4 Single Context (2025-09-11),86.16666666666667,83.33333333333333,89.0,21,27,48,1.795138888888889
21,Claude Sonnet 4 Multiple Context (2025-09-11),78.4047619047619,75.80952380952382,81.0,25,23,48,1.6334325396825395
22,Claude Opus 4.1 Multiple Context (2025-09-11),97.30238095238096,88.6047619047619,106.0,27,21,48,2.0271329365079365
