Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
o3_pro,595.8428571428572,532.6857142857143,659.0,180,0,180,3.310238095238095
o3_high,565.3952380952381,515.7904761904762,615.0,180,0,180,3.141084656084656
o3_images_high,666.9321428571428,604.8642857142858,729.0,240,0,240,2.7788839285714286
o3_med,171.51071428571427,153.0214285714286,190.0,60,0,60,2.8585119047619045
o3_images_med,166.55119047619047,149.1023809523809,184.0,59,1,60,2.7758531746031747
o3_low,164.29523809523806,143.5904761904762,185.0,60,0,60,2.7382539682539675
gpt5_high,400.82261904761907,365.6452380952381,436.0,120,0,120,3.340188492063492
gpt5_med,178.14999999999995,154.29999999999998,202.0,60,0,60,2.969166666666666
gpt5_low,152.90238095238095,135.80476190476193,170.0,60,0,60,2.548373015873016
gpt5_minimal,122.4547619047619,114.9095238095238,130.0,60,0,60,2.0409126984126984
o4mini_high,319.8809523809524,297.7619047619048,342.0,119,1,120,2.6656746031746033
o4mini_med,293.20595238095245,275.4119047619048,311.0,120,0,120,2.443382936507937
