Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
sonnet_sc,133.54285714285714,121.0857142857143,146.0,60,0,60,2.2257142857142855
sonnet_mc,124.84761904761905,116.6952380952381,133.0,60,0,60,2.080793650793651
gemini_2.0_flash_sc,118.68928571428572,108.37857142857143,129.0,60,0,60,1.978154761904762
gemini_2.0_flash_mc,112.29285714285714,106.58571428571429,118.0,59,1,60,1.871547619047619
gemini_2.5_pro_sc,142.6809523809524,131.36190476190473,154.0,60,0,60,2.3780158730158734
gemini_2.5_pro_mc,140.1428571428571,131.2857142857143,149.0,60,0,60,2.335714285714285
chatgpt4o_sc,124.64999999999996,114.30000000000001,135.0,60,0,60,2.0774999999999992
chatgpt4o_mc,135.3488095238095,121.69761904761909,149.0,60,0,60,2.2558134920634916
gpt4.1_sc,134.66785714285714,124.33571428571429,145.0,60,0,60,2.244464285714286
gpt4.1_mc,123.94404761904761,107.88809523809526,140.0,60,0,60,2.0657341269841267
gpt4.1_images_sc,118.33809523809522,107.6761904761905,129.0,60,0,60,1.972301587301587
gpt4.1_images_mc,114.73928571428569,107.47857142857144,122.0,58,2,60,1.912321428571428
o3_sc,191.77976190476195,174.55952380952377,209.0,60,0,60,3.196329365079366
o3_mc,373.6154761904762,341.2309523809524,406.0,120,0,120,3.113462301587302
o3_pro_sc,199.48095238095237,179.96190476190475,219.0,60,0,60,3.3246825396825397
o3_pro_mc,396.3619047619047,352.7238095238095,440.0,120,0,120,3.3030158730158727
o4_mini_sc,147.92976190476193,138.85952380952384,157.0,59,1,60,2.4654960317460324
o4_mini_mc,171.95119047619048,158.90238095238095,185.0,60,0,60,2.8658531746031746
o4_mini_med_sc,134.34285714285716,128.6857142857143,140.0,60,0,60,2.239047619047619
o4_mini_med_mc,158.86309523809527,146.72619047619048,171.0,60,0,60,2.6477182539682547
