,ResponseId,block,block_num,repeat_index,qid,label,score,raw
0,R_10qMKOFXS2FbriN,b2,2,1,8,H,2,A little
1,R_10qMKOFXS2FbriN,b3,3,1,28,doorway,1,Not at all
2,R_10qMKOFXS2FbriN,b4,4,1,56,music notes,5,Completely
3,R_10qMKOFXS2FbriN,b4,4,2,59,spectacles,1,Not at all
4,R_10qMKOFXS2FbriN,b10,10,1,146,cyrillic letter,5,Completely
5,R_10qMKOFXS2FbriN,b11,11,1,181,trident,4,A lot
6,R_10qMKOFXS2FbriN,b13,13,1,211,door hinge,1,Not at all
7,R_10qMKOFXS2FbriN,b16,16,1,275,cube,1,Not at all
8,R_10qMKOFXS2FbriN,b19,19,1,357,butterfly,1,Not at all
9,R_10qMKOFXS2FbriN,b19,19,2,360,circle,1,Not at all
10,R_10qMKOFXS2FbriN,b21,21,1,438,headphones,1,Not at all
11,R_10qMKOFXS2FbriN,b24,24,1,523,pipe fitting,1,Not at all
12,R_10qMKOFXS2FbriN,b25,25,1,552,number 4,2,A little
13,R_10qMKOFXS2FbriN,b26,26,1,573,pickaxe,2,A little
14,R_10qMKOFXS2FbriN,b28,28,1,616,owl,1,Not at all
15,R_10qMKOFXS2FbriN,b28,28,2,618,ribbon,1,Not at all
16,R_10qMKOFXS2FbriN,b29,29,1,621,arch,1,Not at all
17,R_10qMKOFXS2FbriN,b29,29,2,624,bed,1,Not at all
18,R_10qMKOFXS2FbriN,b29,29,3,625,boat,2,A little
19,R_10qMKOFXS2FbriN,b31,31,1,684,female symbol,1,Not at all
20,R_10qMKOFXS2FbriN,b34,34,1,764,heart,1,Not at all
21,R_10qMKOFXS2FbriN,b40,40,1,906,goal post,1,Not at all
22,R_10qMKOFXS2FbriN,b43,43,1,984,keyhole,1,Not at all
23,R_10qMKOFXS2FbriN,b43,43,2,992,royal scepter,1,Not at all
24,R_10qMKOFXS2FbriN,b46,46,1,1065,bridge,1,Not at all
25,R_10qMKOFXS2FbriN,b49,49,1,1165,heart,3,Moderately
26,R_10qMKOFXS2FbriN,b50,50,1,1184,human sketch,5,Completely
27,R_10qMKOFXS2FbriN,b53,53,1,1244,desk lamp,1,Not at all
28,R_10qMKOFXS2FbriN,b56,56,1,1315,tabacco pipe,1,Not at all
29,R_10qMKOFXS2FbriN,b57,57,1,1320,Electric symbol,1,Not at all
30,R_11HtlQVZRVeNDLJ,b3,3,1,29,dried,2,A little
31,R_11HtlQVZRVeNDLJ,b5,5,1,80,tongs,2,A little
32,R_11HtlQVZRVeNDLJ,b7,7,1,107,arrow,5,Completely
33,R_11HtlQVZRVeNDLJ,b11,11,1,175,interval graph,1,Not at all
34,R_11HtlQVZRVeNDLJ,b17,17,1,301,chalice,2,A little
35,R_11HtlQVZRVeNDLJ,b21,21,1,424,circles,2,A little
36,R_11HtlQVZRVeNDLJ,b22,22,1,472,play button,4,A lot
37,R_11HtlQVZRVeNDLJ,b24,24,1,533,windmill,1,Not at all
38,R_11HtlQVZRVeNDLJ,b25,25,1,556,pole,3,Moderately
39,R_11HtlQVZRVeNDLJ,b26,26,1,562,arrow,3,Moderately
40,R_11HtlQVZRVeNDLJ,b26,26,2,571,letter P,4,A lot
41,R_11HtlQVZRVeNDLJ,b26,26,3,574,sailboat,3,Moderately
42,R_11HtlQVZRVeNDLJ,b30,30,1,672,prison bars,3,Moderately
43,R_11HtlQVZRVeNDLJ,b33,33,1,747,semicircle,2,A little
44,R_11HtlQVZRVeNDLJ,b34,34,1,760,camcorder,4,A lot
45,R_11HtlQVZRVeNDLJ,b38,38,1,864,owl,2,A little
46,R_11HtlQVZRVeNDLJ,b43,43,1,994,snake,4,A lot
47,R_11HtlQVZRVeNDLJ,b46,46,1,1068,Chinese Character,4,A lot
48,R_11HtlQVZRVeNDLJ,b46,46,2,1072,eight,1,Not at all
49,R_11HtlQVZRVeNDLJ,b46,46,3,1081,lamp,4,A lot
50,R_11HtlQVZRVeNDLJ,b46,46,4,1091,Prize Ribbon,2,A little
51,R_11HtlQVZRVeNDLJ,b48,48,1,1130,a tree,2,A little
52,R_11HtlQVZRVeNDLJ,b48,48,2,1140,letter E,1,Not at all
53,R_11HtlQVZRVeNDLJ,b49,49,1,1157,beach,1,Not at all
54,R_11HtlQVZRVeNDLJ,b49,49,2,1168,M triangle,5,Completely
55,R_11HtlQVZRVeNDLJ,b52,52,1,1237,toothbrush,2,A little
56,R_11HtlQVZRVeNDLJ,b53,53,1,1255,spade,1,Not at all
57,R_11HtlQVZRVeNDLJ,b55,55,1,1293,Tulip,3,Moderately
58,R_11HtlQVZRVeNDLJ,b58,58,1,1349,umbrella,5,Completely
59,R_11HtlQVZRVeNDLJ,b59,59,1,1366,tree,5,Completely
60,R_14kgHLKHcwVfCWo,b3,3,1,40,spectacles,2,A little
61,R_14kgHLKHcwVfCWo,b4,4,1,48,cherries,1,Not at all
62,R_14kgHLKHcwVfCWo,b4,4,2,55,hummer,1,Not at all
63,R_14kgHLKHcwVfCWo,b12,12,1,199,question mark,1,Not at all
64,R_14kgHLKHcwVfCWo,b13,13,1,214,Half circle,2,A little
65,R_14kgHLKHcwVfCWo,b16,16,1,275,cube,1,Not at all
66,R_14kgHLKHcwVfCWo,b16,16,2,295,Volcano,1,Not at all
67,R_14kgHLKHcwVfCWo,b17,17,1,304,flower,1,Not at all
