,ResponseId,block,block_num,repeat_index,qid,label,score,raw
0,R_5PAMRt4s9LlEvnx,b1,1,1,1,door knob,1,Not at all
1,R_5PAMRt4s9LlEvnx,b1,1,2,2,ladder,5,Completely
2,R_5PAMRt4s9LlEvnx,b1,1,3,3,stacked H's,1,Not at all
3,R_5PAMRt4s9LlEvnx,b1,1,4,4,tower,3,Moderately
4,R_5PAMRt4s9LlEvnx,b1,1,5,5,train track,5,Completely
5,R_5PAMRt4s9LlEvnx,b1,1,6,6,two squares,2,A little
6,R_5PAMRt4s9LlEvnx,b2,2,1,7,comb,1,Not at all
7,R_5PAMRt4s9LlEvnx,b2,2,2,8,H,1,Not at all
8,R_5PAMRt4s9LlEvnx,b2,2,3,9,hash,1,Not at all
9,R_5PAMRt4s9LlEvnx,b2,2,4,10,ladder,5,Completely
10,R_5PAMRt4s9LlEvnx,b2,2,5,11,number 10,1,Not at all
11,R_5PAMRt4s9LlEvnx,b2,2,6,12,sideways H,1,Not at all
12,R_5PAMRt4s9LlEvnx,b2,2,7,13,stairs,3,Moderately
13,R_5PAMRt4s9LlEvnx,b2,2,8,14,train tracks,5,Completely
14,R_5PAMRt4s9LlEvnx,b2,2,9,15,two attached triangles,1,Not at all
15,R_5PAMRt4s9LlEvnx,b2,2,10,16,two boxes,2,A little
16,R_5PAMRt4s9LlEvnx,b2,2,11,17,zibracrossing,5,Completely
17,R_5PAMRt4s9LlEvnx,b3,3,1,18,ballet shoes,2,A little
18,R_5PAMRt4s9LlEvnx,b3,3,2,19,barbell,1,Not at all
19,R_5PAMRt4s9LlEvnx,b3,3,3,20,bd,1,Not at all
20,R_5PAMRt4s9LlEvnx,b3,3,4,21,bed,3,Moderately
21,R_5PAMRt4s9LlEvnx,b3,3,5,22,bra,3,Moderately
22,R_5PAMRt4s9LlEvnx,b3,3,6,23,broom,1,Not at all
23,R_5PAMRt4s9LlEvnx,b3,3,7,24,butterfly,1,Not at all
24,R_5PAMRt4s9LlEvnx,b3,3,8,25,cherry,3,Moderately
25,R_5PAMRt4s9LlEvnx,b3,3,9,26,Circles,1,Not at all
26,R_5PAMRt4s9LlEvnx,b3,3,10,27,cup,1,Not at all
